,type,title,release_year,rating,duration,is_adult,polarity,subjectivity,continent
3348,TV Show,Trigger Warning with Killer Mike,2019,6.9,1,0,0.12777777777777777,0.3888888888888889,Unknown
3349,Movie,Bad Day for the Cut,2017,6.5,99,0,-0.4,0.5,Europe
3351,Movie,Enlighten Us,2016,6.2,93,0,0.0,0.2,North America
3352,Movie,A Fall from Grace,2020,7.7,121,0,-0.015909090909090907,0.5386363636363637,Unknown
3353,TV Show,Ares,2020,5.7,1,0,-0.2625,0.7375,Unknown
3354,TV Show,Nailed It! Germany,2020,5.7,1,0,0.2375,0.7125,Unknown
3355,Movie,Arango y Sanint: Ríase el show,2018,4.0,62,0,-0.25,0.5,South America
3356,TV Show,Godzilla,2017,8.8,1,0,-0.075,0.4,Asia
3357,Movie,Neal Brennan: 3 Mics,2017,7.9,66,0,0.2785714285714286,0.5857142857142856,North America
3360,Movie,The Square,2013,7.2,105,0,0.5,1.0,Europe
3361,Movie,Deadcon,2019,2.8,78,0,-0.18333333333333335,0.31333333333333335,North America
3362,Movie,Get Him to the Greek,2010,6.3,109,0,0.175,0.575,North America
3363,TV Show,Handsome Siblings,2020,7.9,1,0,-0.25,0.5,Asia
3364,Movie,Hop,2011,5.4,95,0,0.1,0.3,North America
3365,Movie,Jezebel,2019,6.6,86,0,-0.25,0.5,North America
3366,Movie,Legend,2015,7.2,132,0,-0.5,0.5333333333333333,Europe
3367,Movie,NiNoKuni,2019,6.1,107,0,0.2833333333333333,0.6666666666666666,Asia
3368,Movie,Steve Jobs,2015,8.0,122,0,0.0,0.55,Europe
3369,Movie,Driven to Dance,2018,6.0,99,0,0.3,0.45,North America
3370,Movie,Skyline,2010,4.5,94,0,-0.03333333333333333,0.16666666666666666,North America
3371,Movie,A Serious Man,2009,7.0,106,0,0.0,0.06666666666666667,North America
3372,Movie,Dallas Buyers Club,2013,7.0,117,0,0.0,0.0,North America
3373,Movie,Katt Williams: Great America,2018,6.2,60,0,0.0,0.05,North America
3374,Movie,Flash of Genius,2008,7.0,119,0,-0.5,0.29999999999999993,North America
3375,Movie,The Rezort,2016,5.3,90,0,-0.2333333333333333,0.2333333333333333,Europe
3376,Movie,Big Fat Liar,2002,7.0,88,0,0.13,0.31999999999999995,North America
3377,Movie,Bulbul Can Sing,2018,7.0,95,0,0.5,0.8333333333333334,Asia
3378,Movie,Eye For An Eye,2019,4.6,108,0,0.0,0.0,Europe
3379,TV Show,Killer Inside: The Mind of Aaron Hernandez,2020,7.4,1,0,0.0,0.0,North America
3380,Movie,MindGamers,2017,3.6,99,0,0.3333333333333333,0.6333333333333333,Europe
3381,Movie,Saving Zoë,2019,5.3,95,0,-0.135,0.48499999999999993,North America
3382,Movie,The Brave,2019,8.8,103,0,-0.07777777777777779,0.14444444444444446,North America
3383,Movie,Where the Money Is,2000,7.4,89,0,-0.05,0.14166666666666666,Europe
3384,Movie,Abducted in Plain Sight,2017,6.8,90,0,0.175,0.325,North America
3386,Movie,Adhugo,2018,5.9,105,0,0.0,0.0,Asia
3387,Movie,Chupan Chupai,2017,8.9,118,0,-0.19999999999999998,0.9666666666666667,Asia
3388,Movie,Deadly Switch,2019,4.5,86,0,-0.041666666666666664,0.041666666666666664,North America
3390,TV Show,La Rosa de Guadalupe,2010,2.6,1,0,0.5090909090909091,0.7151515151515152,North America
3391,TV Show,La Viuda Negra,2016,6.4,1,0,-0.07500000000000001,1.0,South America
3392,TV Show,Lavender,2002,6.5,1,0,0.0,0.0,Asia
3393,Movie,Only Mine,2018,4.6,88,0,0.24999999999999997,0.7,North America
3394,Movie,Pandigai,2017,6.3,125,0,0.0,0.3,Asia
3395,Movie,Pari,2018,4.0,116,0,0.09545454545454546,0.26818181818181813,Asia
3396,Movie,Revenger,2018,5.7,102,0,-0.3666666666666667,0.39999999999999997,Asia
3397,Movie,Sebastian Maniscalco: Stay Hungry,2019,7.0,65,0,0.36904761904761907,0.7738095238095237,North America
3398,Movie,The Devil We Know,2018,7.7,88,0,0.125,0.5,North America
3399,Movie,The Doll,2016,5.7,106,0,-0.08333333333333333,0.611111111111111,Asia
3400,Movie,The Doll 2,2017,5.1,117,0,-0.25,0.45,Asia
3401,Movie,A Boy Called Po,2016,6.6,94,0,0.0,0.0,North America
3402,Movie,Alibaba Aur 40 Chor,1980,4.7,147,0,-0.175,0.6142857142857143,Unknown
3403,Movie,Down The Fence,2017,7.8,94,0,0.24722222222222223,0.7222222222222222,North America
3404,Movie,Face 2 Face,2017,7.3,89,0,0.02784090909090909,0.46875,North America
3405,Movie,Manolo: The Boy Who Made Shoes for Lizards,2017,6.4,89,0,0.7000000000000001,1.0,Europe
3406,Movie,One More Shot,2017,8.6,89,0,0.0666666666666667,0.5333333333333333,North America
3409,Movie,Pyar Ke Do Pal,1986,6.1,153,0,-0.18333333333333335,0.5333333333333333,Asia
3410,Movie,Rip Tide,2017,5.4,87,0,-0.12121212121212122,0.35151515151515156,Oceania
3411,Movie,Thong Dee Fun Khao,2017,5.5,122,0,0.6,0.43333333333333335,Asia
3412,Movie,Unrest,2017,6.4,97,0,0.0,0.0,Europe
3413,Movie,Urvi,2017,6.7,121,0,0.0,0.0,Asia
3414,Movie,Berlin Calling,2008,7.1,105,0,0.22999999999999998,0.5,Europe
3416,Movie,Hostage to the Devil,2016,5.3,96,0,-0.25,0.5,Europe
3417,Movie,Max Rose,2013,6.1,84,0,-0.6,0.9,North America
3418,Movie,Sarajevo,2014,6.7,98,0,0.0,0.0,Europe
3419,Movie,Stereo,2014,7.1,91,0,-0.0625,0.625,Europe
3420,Movie,Teenage Cocktail,2016,5.8,89,0,-0.03749999999999999,0.5375,North America
3421,Movie,The Similars,2015,5.8,90,0,-0.15625,0.4625,North America
3422,Movie,"Twisted Trunk, Big Fat Body",2015,7.1,89,0,-0.6,0.9,Asia
3423,Movie,We Are Young. We Are Strong.,2014,7.0,123,0,-0.4,0.8,Europe
3424,Movie,Ip Man,2008,5.6,107,0,0.06000000000000001,0.16666666666666666,Asia
3425,Movie,Ip Man 2,2010,7.5,108,0,0.06818181818181818,0.22727272727272727,Asia
3426,TV Show,Kipo and the Age of Wonderbeasts,2020,8.3,1,0,0.0,0.0,North America
3427,Movie,Leslie Jones: Time Machine,2020,5.2,66,0,-0.19340659340659339,0.5832417582417582,North America
3428,Movie,The Master,2012,9.1,137,0,0.3181818181818182,0.7272727272727273,North America
3429,Movie,Women of Mafia 2,2019,3.8,132,0,-0.12187500000000001,0.35,Europe
3430,Movie,Invisible Essence: The Little Prince,2018,7.6,91,0,0.0,0.0,North America
3432,Movie,Camp X-Ray,2014,6.9,117,0,0.5,0.5,North America
3433,Movie,Estar o no estar,2016,5.4,100,0,-0.11458333333333331,0.5645833333333333,North America
3434,Movie,Little Sister,2016,6.0,91,0,0.0,0.0,North America
3435,Movie,The River Thief,2016,5.2,87,0,0.25,0.3,North America
3436,TV Show,The Healing Powers of Dude,2020,6.4,1,0,0.011111111111111112,0.2388888888888889,Unknown
3437,Movie,The Last Face,2016,4.9,131,0,0.0,0.0,North America
3438,Movie,13 Sins,2014,6.3,93,0,-0.00833333333333334,0.6333333333333333,North America
3439,Movie,Baazaar,2018,6.5,136,0,-0.85,1.0,Asia
3440,Movie,The Fighter,2010,4.5,116,0,0.0,0.0,North America
3441,Movie,Aquarius,2016,7.4,146,0,0.0,0.5,South America
3442,Movie,Casablancas: The Man Who Loved Women,2016,6.1,82,0,0.3,0.0,Europe
3443,Movie,Clinical,2017,5.1,104,0,-0.6212121212121212,0.8181818181818182,North America
3444,TV Show,Historia de un clan,2015,7.7,1,0,0.15,0.7333333333333334,South America
3445,Movie,Betty White: First Lady of Television,2018,7.8,56,0,0.04545454545454545,0.15151515151515152,North America
3446,Movie,Made in China,2019,5.6,128,0,-0.5,0.5,Asia
3447,Movie,Becoming Jane,2007,7.0,121,0,0.025,0.525,Europe
3448,Movie,He's Out There,2018,8.0,89,0,-0.3333333333333333,0.5333333333333333,North America
3449,Movie,Milada,2017,6.3,124,0,0.0,0.1,Europe
3450,Movie,The Man Who Would Be Polka King,2009,6.2,68,0,0.06666666666666665,0.6666666666666666,North America
3451,Movie,The Polka King,2018,5.9,94,0,0.175,0.375,North America
3452,Movie,The Reservoir Game,2017,6.0,100,0,0.0,0.0,Asia
3453,Movie,Tom Segura: Disgraceful,2018,7.5,71,0,0.3,0.65,North America
3454,Movie,Little Men,2016,6.7,85,0,0.0,0.1,North America
3455,Movie,Very Big Shot,2015,6.9,109,0,-0.1,0.47500000000000003,Asia
3456,Movie,Zoom,2006,7.2,88,0,0.1028409090909091,0.26363636363636367,North America
3457,Movie,All of You,2017,5.6,104,0,0.0,0.6666666666666666,Asia
3458,TV Show,Back with the Ex,2018,6.2,1,0,0.05727272727272725,0.4409090909090909,Unknown
3459,Movie,ReMastered: Massacre at the Stadium,2019,7.2,65,0,-0.2333333333333333,0.6666666666666666,Unknown
3460,TV Show,Sex Education,2019,8.4,1,0,-0.15,0.5375,North America
3461,Movie,Solo,2018,6.4,91,0,0.0,0.3666666666666667,Europe
3462,Movie,The Last Laugh,2019,4.8,99,0,0.0,0.0,North America
3463,Movie,Dayveon,2017,6.2,76,0,0.05555555555555555,0.14444444444444446,North America
3464,TV Show,AJ and the Queen,2020,7.4,1,0,-0.19999999999999998,0.19027777777777777,North America
3467,TV Show,Medical Police,2020,5.9,1,0,-0.20000000000000004,0.2333333333333333,North America
3468,Movie,Monsters: Dark Continent,2014,4.3,119,0,0.0,0.03333333333333333,Europe
3469,Movie,Set Up,2011,5.3,85,0,-0.15,0.6,North America
3470,Movie,Sniper: Special Ops,2016,3.0,86,0,-0.13333333333333333,0.2333333333333333,North America
3471,Movie,The Evil Dead,1981,7.7,85,0,0.022222222222222216,0.2555555555555556,North America
3472,TV Show,Until Dawn,2020,7.6,1,0,0.0,0.0,Europe
